IPS,MaskS,PortS,IPD,MaskD,PortD,Cost
10.1.137.87,24,3011,10.1.138.36,24,3100,103
10.1.137.87,24,3011,10.1.137.60,24,3117,99
10.1.137.87,24,3012,10.1.137.209,24,3033,103
10.1.137.87,24,3012,10.1.137.209,24,3035,69
10.1.137.87,24,3012,10.1.137.40,24,3075,116
10.1.137.87,24,3012,10.1.138.36,24,3100,74
10.1.137.87,24,3012,10.1.137.247,24,3129,76
10.1.137.87,24,3013,10.1.137.67,24,3086,64
10.1.137.87,24,3013,10.1.138.36,24,3104,26
10.1.137.87,24,3013,10.1.137.159,24,3132,52
10.1.137.87,24,3013,10.1.137.147,24,3179,50
10.1.137.87,24,3013,10.1.137.177,24,3193,53
10.1.137.87,24,3014,10.1.137.166,24,3020,72
10.1.137.87,24,3014,10.1.137.209,24,3034,109
10.1.137.87,24,3014,10.1.137.114,24,3044,94
10.1.137.87,24,3014,10.1.137.91,24,3055,107
10.1.137.87,24,3014,10.1.137.95,24,3143,92
10.1.137.87,24,3014,10.1.137.27,24,3163,108
10.1.137.87,24,3014,10.1.137.177,24,3196,40
10.1.137.87,24,3015,10.1.137.166,24,3024,38
10.1.137.87,24,3015,10.1.137.209,24,3033,84
10.1.137.87,24,3015,10.1.137.45,24,3096,106
10.1.137.87,24,3015,10.1.137.60,24,3111,87
10.1.137.87,24,3015,10.1.137.159,24,3130,32
10.1.137.87,24,3015,10.1.137.27,24,3166,26
10.1.137.87,24,3015,10.1.137.228,24,3186,21
10.1.137.87,24,3015,10.1.137.177,24,3194,52
10.1.137.87,24,3016,10.1.137.166,24,3029,46
10.1.137.87,24,3016,10.1.137.91,24,3052,49
10.1.137.87,24,3016,10.1.137.204,24,3061,84
10.1.137.87,24,3016,10.1.137.40,24,3079,61
10.1.137.87,24,3016,10.1.137.27,24,3161,45
10.1.137.87,24,3016,10.1.137.147,24,3178,31
10.1.137.87,24,3016,10.1.137.177,24,3191,90
10.1.137.87,24,3017,10.1.137.87,24,3019,102
10.1.137.87,24,3017,10.1.137.166,24,3021,28
10.1.137.87,24,3017,10.1.137.45,24,3090,105
10.1.137.87,24,3017,10.1.137.45,24,3091,82
10.1.137.87,24,3017,10.1.138.36,24,3109,75
10.1.137.87,24,3017,10.1.137.247,24,3129,85
10.1.137.87,24,3017,10.1.137.159,24,3139,48
10.1.137.87,24,3017,10.1.137.177,24,3190,27
10.1.137.87,24,3018,10.1.137.204,24,3069,35
10.1.137.87,24,3018,10.1.137.40,24,3076,48
10.1.137.87,24,3018,10.1.137.67,24,3086,102
10.1.137.87,24,3018,10.1.137.60,24,3119,117
10.1.137.87,24,3018,10.1.137.27,24,3161,46
10.1.137.87,24,3018,10.1.137.147,24,3175,87
10.1.137.87,24,3018,10.1.137.177,24,3193,72
10.1.137.87,24,3018,10.1.137.177,24,3194,60
10.1.137.87,24,3019,10.1.137.114,24,3047,46
10.1.137.87,24,3019,10.1.137.91,24,3050,43
10.1.137.87,24,3019,10.1.137.91,24,3052,45
10.1.137.87,24,3019,10.1.137.40,24,3078,23
10.1.137.87,24,3019,10.1.138.36,24,3104,51
10.1.137.87,24,3019,10.1.137.27,24,3163,39
10.1.137.87,24,3019,10.1.137.228,24,3183,117
10.1.137.87,24,3019,10.1.137.228,24,3188,104
10.1.137.87,24,3019,10.1.137.177,24,3198,81
10.1.137.166,24,3020,10.1.137.209,24,3030,101
10.1.137.166,24,3020,10.1.137.45,24,3090,30
10.1.137.166,24,3020,10.1.137.45,24,3096,68
10.1.137.166,24,3020,10.1.138.36,24,3107,62
10.1.137.166,24,3020,10.1.137.60,24,3117,39
10.1.137.166,24,3020,10.1.137.95,24,3142,44
10.1.137.166,24,3020,10.1.137.95,24,3147,90
10.1.137.166,24,3020,10.1.137.89,24,3153,39
10.1.137.166,24,3020,10.1.137.89,24,3155,63
10.1.137.166,24,3020,10.1.137.228,24,3181,85
10.1.137.166,24,3020,10.1.137.228,24,3187,102
10.1.137.166,24,3020,10.1.137.177,24,3199,45
10.1.137.166,24,3021,10.1.137.209,24,3031,117
10.1.137.166,24,3021,10.1.137.204,24,3060,26
10.1.137.166,24,3021,10.1.137.204,24,3065,112
10.1.137.166,24,3021,10.1.137.67,24,3089,111
10.1.137.166,24,3021,10.1.137.60,24,3118,119
10.1.137.166,24,3021,10.1.137.95,24,3141,61
10.1.137.166,24,3021,10.1.137.89,24,3153,88
10.1.137.166,24,3021,10.1.137.147,24,3178,118
10.1.137.166,24,3022,10.1.137.114,24,3041,105
10.1.137.166,24,3022,10.1.137.40,24,3075,96
10.1.137.166,24,3022,10.1.137.40,24,3078,48
10.1.137.166,24,3022,10.1.137.67,24,3084,45
10.1.137.166,24,3022,10.1.137.228,24,3181,77
10.1.137.166,24,3023,10.1.137.114,24,3045,33
10.1.137.166,24,3023,10.1.137.204,24,3061,112
10.1.137.166,24,3023,10.1.137.95,24,3142,27
10.1.137.166,24,3023,10.1.137.95,24,3144,77
10.1.137.166,24,3023,10.1.137.27,24,3162,58
10.1.137.166,24,3023,10.1.137.27,24,3165,26
10.1.137.166,24,3023,10.1.137.177,24,3194,68
10.1.137.166,24,3024,10.1.137.114,24,3041,110
10.1.137.166,24,3024,10.1.137.114,24,3048,108
10.1.137.166,24,3024,10.1.137.91,24,3052,102
10.1.137.166,24,3024,10.1.137.91,24,3058,37
10.1.137.166,24,3024,10.1.137.67,24,3081,110
10.1.137.166,24,3024,10.1.137.60,24,3113,54
10.1.137.166,24,3024,10.1.137.60,24,3119,48
10.1.137.166,24,3024,10.1.137.247,24,3120,32
10.1.137.166,24,3024,10.1.137.247,24,3129,106
10.1.137.166,24,3024,10.1.137.95,24,3143,93
10.1.137.166,24,3024,10.1.137.27,24,3168,31
10.1.137.166,24,3024,10.1.137.147,24,3179,115
10.1.137.166,24,3024,10.1.137.228,24,3185,95
10.1.137.166,24,3025,10.1.137.204,24,3064,52
10.1.137.166,24,3025,10.1.137.40,24,3075,111
10.1.137.166,24,3025,10.1.137.40,24,3076,24
10.1.137.166,24,3025,10.1.137.228,24,3188,50
10.1.137.166,24,3026,10.1.137.209,24,3037,99
10.1.137.166,24,3026,10.1.137.114,24,3049,91
10.1.137.166,24,3026,10.1.137.67,24,3089,37
10.1.137.166,24,3026,10.1.137.95,24,3145,54
10.1.137.166,24,3026,10.1.137.147,24,3170,99
10.1.137.166,24,3027,10.1.137.114,24,3044,78
10.1.137.166,24,3027,10.1.137.204,24,3066,40
10.1.137.166,24,3027,10.1.137.45,24,3097,38
10.1.137.166,24,3027,10.1.137.60,24,3111,30
10.1.137.166,24,3027,10.1.137.159,24,3133,31
10.1.137.166,24,3028,10.1.137.67,24,3087,38
10.1.137.166,24,3028,10.1.137.45,24,3097,83
10.1.137.166,24,3028,10.1.137.159,24,3137,38
10.1.137.166,24,3028,10.1.137.89,24,3150,57
10.1.137.166,24,3028,10.1.137.89,24,3155,73
10.1.137.166,24,3028,10.1.137.228,24,3181,87
10.1.137.166,24,3028,10.1.137.177,24,3192,51
10.1.137.166,24,3029,10.1.137.209,24,3037,89
10.1.137.166,24,3029,10.1.137.114,24,3040,103
10.1.137.166,24,3029,10.1.137.91,24,3057,31
10.1.137.166,24,3029,10.1.137.40,24,3077,65
10.1.137.166,24,3029,10.1.137.89,24,3155,34
10.1.137.166,24,3029,10.1.137.228,24,3180,54
10.1.137.166,24,3029,10.1.137.177,24,3190,97
10.1.137.166,24,3029,10.1.137.177,24,3196,31
10.1.137.209,24,3030,10.1.137.209,24,3032,74
10.1.137.209,24,3030,10.1.137.40,24,3076,94
10.1.137.209,24,3030,10.1.137.159,24,3138,113
10.1.137.209,24,3030,10.1.137.95,24,3145,41
10.1.137.209,24,3030,10.1.137.89,24,3156,94
10.1.137.209,24,3030,10.1.137.89,24,3159,53
10.1.137.209,24,3030,10.1.137.228,24,3182,107
10.1.137.209,24,3031,10.1.137.91,24,3055,103
10.1.137.209,24,3031,10.1.137.45,24,3096,77
10.1.137.209,24,3031,10.1.137.247,24,3124,61
10.1.137.209,24,3031,10.1.137.159,24,3134,41
10.1.137.209,24,3032,10.1.137.114,24,3040,40
10.1.137.209,24,3032,10.1.137.45,24,3096,27
10.1.137.209,24,3032,10.1.137.60,24,3117,25
10.1.137.209,24,3032,10.1.137.159,24,3137,109
10.1.137.209,24,3033,10.1.137.91,24,3052,113
10.1.137.209,24,3033,10.1.137.45,24,3094,72
10.1.137.209,24,3034,10.1.137.204,24,3062,42
10.1.137.209,24,3034,10.1.137.204,24,3064,63
10.1.137.209,24,3034,10.1.137.40,24,3071,44
10.1.137.209,24,3034,10.1.137.247,24,3125,76
10.1.137.209,24,3034,10.1.137.147,24,3175,105
10.1.137.209,24,3034,10.1.137.177,24,3191,67
10.1.137.209,24,3035,10.1.137.45,24,3090,65
10.1.137.209,24,3035,10.1.137.45,24,3095,81
10.1.137.209,24,3035,10.1.138.36,24,3107,58
10.1.137.209,24,3035,10.1.137.60,24,3116,110
10.1.137.209,24,3035,10.1.137.27,24,3160,98
10.1.137.209,24,3035,10.1.137.177,24,3196,82
10.1.137.209,24,3035,10.1.137.177,24,3198,81
10.1.137.209,24,3036,10.1.137.114,24,3044,39
10.1.137.209,24,3036,10.1.137.114,24,3048,81
10.1.137.209,24,3036,10.1.137.91,24,3050,45
10.1.137.209,24,3036,10.1.137.91,24,3054,41
10.1.137.209,24,3036,10.1.137.91,24,3058,81
10.1.137.209,24,3036,10.1.137.40,24,3074,67
10.1.137.209,24,3036,10.1.137.67,24,3080,63
10.1.137.209,24,3036,10.1.137.67,24,3084,52
10.1.137.209,24,3036,10.1.137.67,24,3087,104
10.1.137.209,24,3036,10.1.137.45,24,3096,28
10.1.137.209,24,3036,10.1.138.36,24,3105,54
10.1.137.209,24,3036,10.1.137.60,24,3111,50
10.1.137.209,24,3036,10.1.137.27,24,3167,58
10.1.137.209,24,3037,10.1.137.40,24,3074,23
10.1.137.209,24,3037,10.1.138.36,24,3102,67
10.1.137.209,24,3037,10.1.137.159,24,3130,59
10.1.137.209,24,3037,10.1.137.89,24,3151,59
10.1.137.209,24,3037,10.1.137.147,24,3171,96
10.1.137.209,24,3037,10.1.137.177,24,3198,56
10.1.137.209,24,3038,10.1.137.91,24,3057,23
10.1.137.209,24,3038,10.1.137.204,24,3063,106
10.1.137.209,24,3038,10.1.138.36,24,3106,102
10.1.137.209,24,3038,10.1.137.60,24,3111,76
10.1.137.209,24,3038,10.1.137.60,24,3119,95
10.1.137.209,24,3038,10.1.137.159,24,3139,77
10.1.137.209,24,3038,10.1.137.147,24,3179,67
10.1.137.209,24,3038,10.1.137.228,24,3181,69
10.1.137.209,24,3038,10.1.137.177,24,3194,45
10.1.137.209,24,3039,10.1.137.114,24,3042,102
10.1.137.209,24,3039,10.1.137.114,24,3047,110
10.1.137.209,24,3039,10.1.137.114,24,3048,102
10.1.137.209,24,3039,10.1.137.91,24,3057,109
10.1.137.209,24,3039,10.1.137.204,24,3068,83
10.1.137.209,24,3039,10.1.137.45,24,3090,118
10.1.137.209,24,3039,10.1.137.89,24,3154,68
10.1.137.209,24,3039,10.1.137.228,24,3185,76
10.1.137.209,24,3039,10.1.137.177,24,3191,59
10.1.137.114,24,3040,10.1.137.114,24,3046,102
10.1.137.114,24,3040,10.1.137.204,24,3068,20
10.1.137.114,24,3040,10.1.138.36,24,3101,54
10.1.137.114,24,3040,10.1.137.60,24,3117,104
10.1.137.114,24,3040,10.1.137.159,24,3134,55
10.1.137.114,24,3040,10.1.137.95,24,3144,67
10.1.137.114,24,3040,10.1.137.95,24,3146,107
10.1.137.114,24,3040,10.1.137.95,24,3147,99
10.1.137.114,24,3040,10.1.137.147,24,3172,89
10.1.137.114,24,3041,10.1.137.204,24,3065,39
10.1.137.114,24,3041,10.1.137.67,24,3085,60
10.1.137.114,24,3041,10.1.137.27,24,3161,55
10.1.137.114,24,3041,10.1.137.147,24,3173,74
10.1.137.114,24,3041,10.1.137.228,24,3189,20
10.1.137.114,24,3042,10.1.137.45,24,3099,23
10.1.137.114,24,3042,10.1.138.36,24,3109,86
10.1.137.114,24,3042,10.1.137.159,24,3136,50
10.1.137.114,24,3042,10.1.137.147,24,3170,33
10.1.137.114,24,3042,10.1.137.228,24,3183,29
10.1.137.114,24,3042,10.1.137.228,24,3187,64
10.1.137.114,24,3043,10.1.137.204,24,3060,74
10.1.137.114,24,3043,10.1.137.40,24,3079,119
10.1.137.114,24,3043,10.1.137.67,24,3084,105
10.1.137.114,24,3043,10.1.137.45,24,3093,110
10.1.137.114,24,3043,10.1.137.45,24,3097,43
10.1.137.114,24,3043,10.1.138.36,24,3104,21
10.1.137.114,24,3043,10.1.137.60,24,3112,60
10.1.137.114,24,3043,10.1.137.159,24,3132,35
10.1.137.114,24,3043,10.1.137.159,24,3139,63
10.1.137.114,24,3043,10.1.137.95,24,3143,49
10.1.137.114,24,3043,10.1.137.95,24,3144,42
10.1.137.114,24,3043,10.1.137.27,24,3161,100
10.1.137.114,24,3043,10.1.137.147,24,3170,108
10.1.137.114,24,3043,10.1.137.147,24,3174,55
10.1.137.114,24,3043,10.1.137.147,24,3176,63
10.1.137.114,24,3044,10.1.137.114,24,3047,73
10.1.137.114,24,3044,10.1.137.67,24,3089,23
10.1.137.114,24,3044,10.1.138.36,24,3100,21
10.1.137.114,24,3044,10.1.138.36,24,3108,79
10.1.137.114,24,3044,10.1.137.60,24,3115,45
10.1.137.114,24,3044,10.1.137.60,24,3119,87
10.1.137.114,24,3044,10.1.137.27,24,3161,79
10.1.137.114,24,3044,10.1.137.147,24,3172,29
10.1.137.114,24,3044,10.1.137.177,24,3199,103
10.1.137.114,24,3045,10.1.137.91,24,3057,108
10.1.137.114,24,3045,10.1.137.95,24,3143,20
10.1.137.114,24,3045,10.1.137.89,24,3154,23
10.1.137.114,24,3045,10.1.137.177,24,3198,48
10.1.137.114,24,3046,10.1.137.95,24,3148,46
10.1.137.114,24,3046,10.1.137.89,24,3157,82
10.1.137.114,24,3046,10.1.137.228,24,3181,105
10.1.137.114,24,3047,10.1.137.67,24,3081,97
10.1.137.114,24,3047,10.1.137.89,24,3150,91
10.1.137.114,24,3047,10.1.137.89,24,3154,81
10.1.137.114,24,3047,10.1.137.27,24,3164,29
10.1.137.114,24,3047,10.1.137.177,24,3191,30
10.1.137.114,24,3048,10.1.137.204,24,3065,98
10.1.137.114,24,3048,10.1.138.36,24,3103,115
10.1.137.114,24,3048,10.1.137.60,24,3115,103
10.1.137.114,24,3048,10.1.137.247,24,3125,116
10.1.137.114,24,3049,10.1.137.40,24,3072,41
10.1.137.114,24,3049,10.1.137.40,24,3073,62
10.1.137.114,24,3049,10.1.137.40,24,3074,79
10.1.137.114,24,3049,10.1.138.36,24,3105,77
10.1.137.114,24,3049,10.1.137.159,24,3139,43
10.1.137.114,24,3049,10.1.137.95,24,3148,69
10.1.137.114,24,3049,10.1.137.228,24,3187,74
10.1.137.91,24,3050,10.1.137.91,24,3059,95
10.1.137.91,24,3050,10.1.137.67,24,3086,43
10.1.137.91,24,3050,10.1.137.60,24,3119,104
10.1.137.91,24,3050,10.1.137.89,24,3153,87
10.1.137.91,24,3050,10.1.137.147,24,3173,29
10.1.137.91,24,3051,10.1.137.45,24,3098,99
10.1.137.91,24,3051,10.1.138.36,24,3103,117
10.1.137.91,24,3051,10.1.137.60,24,3110,66
10.1.137.91,24,3051,10.1.137.147,24,3170,81
10.1.137.91,24,3051,10.1.137.147,24,3171,59
10.1.137.91,24,3052,10.1.137.204,24,3067,21
10.1.137.91,24,3052,10.1.138.36,24,3106,67
10.1.137.91,24,3052,10.1.137.247,24,3127,99
10.1.137.91,24,3052,10.1.137.95,24,3141,69
10.1.137.91,24,3053,10.1.137.247,24,3129,103
10.1.137.91,24,3053,10.1.137.147,24,3172,101
10.1.137.91,24,3053,10.1.137.147,24,3175,116
10.1.137.91,24,3054,10.1.138.36,24,3102,79
10.1.137.91,24,3054,10.1.137.147,24,3177,113
10.1.137.91,24,3054,10.1.137.228,24,3181,52
10.1.137.91,24,3055,10.1.137.91,24,3058,32
10.1.137.91,24,3055,10.1.137.95,24,3148,90
10.1.137.91,24,3055,10.1.137.177,24,3192,119
10.1.137.91,24,3056,10.1.137.45,24,3097,59
10.1.137.91,24,3056,10.1.138.36,24,3106,31
10.1.137.91,24,3056,10.1.137.159,24,3130,84
10.1.137.91,24,3056,10.1.137.159,24,3133,95
10.1.137.91,24,3056,10.1.137.159,24,3134,93
10.1.137.91,24,3056,10.1.137.95,24,3149,42
10.1.137.91,24,3056,10.1.137.147,24,3170,45
10.1.137.91,24,3056,10.1.137.228,24,3186,106
10.1.137.91,24,3057,10.1.137.40,24,3071,38
10.1.137.91,24,3057,10.1.137.67,24,3082,32
10.1.137.91,24,3057,10.1.137.67,24,3086,66
10.1.137.91,24,3057,10.1.137.60,24,3115,27
10.1.137.91,24,3057,10.1.137.159,24,3138,21
10.1.137.91,24,3057,10.1.137.89,24,3156,32
10.1.137.91,24,3057,10.1.137.147,24,3173,20
10.1.137.91,24,3057,10.1.137.147,24,3177,21
10.1.137.91,24,3058,10.1.137.204,24,3062,75
10.1.137.91,24,3058,10.1.137.204,24,3066,90
10.1.137.91,24,3058,10.1.137.40,24,3078,64
10.1.137.91,24,3058,10.1.137.67,24,3084,69
10.1.137.91,24,3058,10.1.138.36,24,3108,60
10.1.137.91,24,3058,10.1.137.60,24,3117,61
10.1.137.91,24,3058,10.1.137.247,24,3121,67
10.1.137.91,24,3058,10.1.137.95,24,3140,83
10.1.137.91,24,3058,10.1.137.95,24,3142,114
10.1.137.91,24,3058,10.1.137.89,24,3154,27
10.1.137.91,24,3058,10.1.137.89,24,3155,51
10.1.137.91,24,3058,10.1.137.147,24,3176,36
10.1.137.91,24,3059,10.1.137.40,24,3073,66
10.1.137.91,24,3059,10.1.137.247,24,3120,91
10.1.137.91,24,3059,10.1.137.247,24,3124,74
10.1.137.91,24,3059,10.1.137.95,24,3148,30
10.1.137.91,24,3059,10.1.137.177,24,3194,112
10.1.137.204,24,3060,10.1.137.89,24,3159,117
10.1.137.204,24,3061,10.1.137.40,24,3078,69
10.1.137.204,24,3061,10.1.137.67,24,3086,87
10.1.137.204,24,3061,10.1.138.36,24,3103,31
10.1.137.204,24,3061,10.1.137.89,24,3159,67
10.1.137.204,24,3062,10.1.137.40,24,3074,37
10.1.137.204,24,3062,10.1.137.40,24,3078,42
10.1.137.204,24,3062,10.1.137.60,24,3113,119
10.1.137.204,24,3062,10.1.137.60,24,3117,85
10.1.137.204,24,3062,10.1.137.159,24,3130,91
10.1.137.204,24,3062,10.1.137.95,24,3140,118
10.1.137.204,24,3062,10.1.137.95,24,3146,35
10.1.137.204,24,3062,10.1.137.228,24,3180,75
10.1.137.204,24,3062,10.1.137.228,24,3183,40
10.1.137.204,24,3063,10.1.137.204,24,3066,64
10.1.137.204,24,3063,10.1.137.40,24,3073,71
10.1.137.204,24,3063,10.1.137.40,24,3074,23
10.1.137.204,24,3063,10.1.137.45,24,3098,61
10.1.137.204,24,3063,10.1.138.36,24,3108,76
10.1.137.204,24,3063,10.1.137.159,24,3133,90
10.1.137.204,24,3063,10.1.137.95,24,3144,37
10.1.137.204,24,3063,10.1.137.89,24,3151,72
10.1.137.204,24,3063,10.1.137.89,24,3155,48
10.1.137.204,24,3063,10.1.137.27,24,3169,22
10.1.137.204,24,3063,10.1.137.147,24,3172,101
10.1.137.204,24,3064,10.1.137.67,24,3080,41
10.1.137.204,24,3064,10.1.137.60,24,3113,27
10.1.137.204,24,3064,10.1.137.247,24,3126,116
10.1.137.204,24,3064,10.1.137.89,24,3153,115
10.1.137.204,24,3064,10.1.137.228,24,3185,42
10.1.137.204,24,3065,10.1.137.204,24,3068,100
10.1.137.204,24,3065,10.1.137.40,24,3076,43
10.1.137.204,24,3065,10.1.137.67,24,3082,117
10.1.137.204,24,3065,10.1.137.247,24,3126,100
10.1.137.204,24,3065,10.1.137.89,24,3154,22
10.1.137.204,24,3065,10.1.137.147,24,3175,45
10.1.137.204,24,3066,10.1.137.67,24,3081,115
10.1.137.204,24,3066,10.1.138.36,24,3108,40
10.1.137.204,24,3066,10.1.137.159,24,3131,87
10.1.137.204,24,3066,10.1.137.228,24,3185,46
10.1.137.204,24,3067,10.1.137.40,24,3073,43
10.1.137.204,24,3067,10.1.137.67,24,3082,33
10.1.137.204,24,3067,10.1.137.67,24,3089,99
10.1.137.204,24,3067,10.1.137.147,24,3170,108
10.1.137.204,24,3068,10.1.137.40,24,3078,99
10.1.137.204,24,3068,10.1.137.67,24,3086,105
10.1.137.204,24,3068,10.1.137.45,24,3098,55
10.1.137.204,24,3069,10.1.137.89,24,3151,71
10.1.137.204,24,3069,10.1.137.89,24,3159,94
10.1.137.40,24,3070,10.1.137.60,24,3116,52
10.1.137.40,24,3070,10.1.137.89,24,3154,55
10.1.137.40,24,3071,10.1.137.45,24,3092,23
10.1.137.40,24,3071,10.1.138.36,24,3105,103
10.1.137.40,24,3071,10.1.137.247,24,3124,47
10.1.137.40,24,3071,10.1.137.177,24,3193,108
10.1.137.40,24,3071,10.1.137.177,24,3194,83
10.1.137.40,24,3072,10.1.138.36,24,3100,115
10.1.137.40,24,3072,10.1.137.159,24,3130,44
10.1.137.40,24,3073,10.1.137.67,24,3081,112
10.1.137.40,24,3073,10.1.137.67,24,3085,40
10.1.137.40,24,3073,10.1.137.67,24,3086,74
10.1.137.40,24,3073,10.1.137.89,24,3156,23
10.1.137.40,24,3073,10.1.137.89,24,3157,51
10.1.137.40,24,3073,10.1.137.228,24,3180,37
10.1.137.40,24,3073,10.1.137.228,24,3181,107
10.1.137.40,24,3073,10.1.137.228,24,3185,69
10.1.137.40,24,3073,10.1.137.177,24,3198,59
10.1.137.40,24,3074,10.1.137.40,24,3079,119
10.1.137.40,24,3074,10.1.137.45,24,3091,46
10.1.137.40,24,3074,10.1.137.45,24,3092,90
10.1.137.40,24,3074,10.1.137.60,24,3118,92
10.1.137.40,24,3074,10.1.137.177,24,3195,50
10.1.137.40,24,3075,10.1.137.67,24,3089,23
10.1.137.40,24,3075,10.1.137.159,24,3131,95
10.1.137.40,24,3075,10.1.137.89,24,3150,30
10.1.137.40,24,3075,10.1.137.27,24,3163,50
10.1.137.40,24,3076,10.1.137.40,24,3079,60
10.1.137.40,24,3076,10.1.137.67,24,3084,39
10.1.137.40,24,3076,10.1.137.45,24,3090,95
10.1.137.40,24,3076,10.1.138.36,24,3109,68
10.1.137.40,24,3076,10.1.137.95,24,3144,46
10.1.137.40,24,3076,10.1.137.89,24,3152,75
